,0
13,4697
10,4620
2,4610
3,4579
23,4547
18,4542
25,4496
12,4491
1,4474
14,4445
11,4428
20,4417
4,4408
24,4406
19,4405
5,4403
8,4401
22,4399
17,4343
21,4339
7,4320
9,4319
15,4270
6,4223
16,3968
29/08/2012,94
07/09/2013,66
08/09/2015,51
06/03/2019,50
05/05/2014,47
07/09/2014,43
28/06/2017,41
06/11/2006,39
16/10/2008,39
05/08/2015,37
22/10/2012,36
26/06/2006,36
08/09/2018,33
14/08/2008,32
23/07/2012,30
10/05/2013,29
06/10/2011,27
04/10/2004,27
06/12/2007,25
09/05/2018,25
19/10/2018,23
09/04/2014,23
18/03/2016,22
05/01/2004,22
17/08/2012,22
20/03/2008,22
08/09/2014,21
05/12/2012,21
19/09/2012,21
06/07/2012,20
09/01/2014,20
15/07/2013,19
07/03/2014,18
22/09/2011,18
21/03/2014,17
24/07/2006,17
26/07/2017,17
04/12/2008,17
13/10/2008,16
11/06/2012,16
15/02/2019,16
16/08/2004,16
08/01/2009,16
19/03/2007,15
07/09/2017,15
12/09/2014,15
17/02/2012,15
11/01/2010,14
17/09/2018,14
14/01/2008,14
17/12/2018,14
23/05/2005,14
06/09/2012,14
28/08/2008,14
16/05/2005,14
24/10/2005,14
26/12/2006,13
19/06/2008,13
18/05/2015,13
27/12/2013,13
16/08/2017,13
21/06/2010,13
11/12/2013,13
07/03/2005,13
15/07/2016,13
09/05/2005,13
24/11/2011,13
24/03/2014,13
25/02/2013,12
04/06/2009,12
02/07/2012,12
18/02/2019,12
03/02/2016,12
16/04/2007,12
26/01/2009,12
05/10/2018,11
18/03/2019,11
24/10/2011,11
23/01/2015,11
04/12/2006,11
28/07/2011,11
09/05/2016,11
27/01/2014,11
21/10/2016,11
30/04/2009,11
28/01/2010,11
30/06/2011,11
26/12/2008,11
03/06/2016,10
11/10/2010,10
24/02/2012,10
22/02/2013,10
12/02/2014,10
02/12/2013,10
25/11/2015,10
28/12/2009,10
09/09/2016,10
14/03/2016,10
08/07/2010,10
26/02/2009,10
20/04/2009,10
02/02/2004,10
21/08/2017,10
17/04/2008,10
15/02/2007,10
05/01/2012,10
03/04/2006,10
06/09/2016,10
14/11/2012,10
22/11/2013,9
25/03/2015,9
10/11/2003,9
28/06/2004,9
01/02/2010,9
04/08/2008,9
01/06/2012,9
20/09/2017,9
17/07/2015,9
12/01/2004,9
15/02/2013,9
17/06/2013,9
31/03/2017,9
01/03/2010,9
24/01/2011,9
14/01/2015,9
03/04/2008,9
22/02/2012,9
07/06/2013,9
25/09/2006,9
15/01/2016,9
13/03/2019,9
13/02/2019,9
10/08/2009,9
09/02/2004,9
01/08/2011,9
10/05/2004,9
03/03/2008,9
29/08/2005,9
05/04/2010,8
27/01/2017,8
13/06/2012,8
21/08/2013,8
12/06/2017,8
18/01/2019,8
24/08/2009,8
14/07/2011,8
09/05/2012,8
16/08/2010,8
06/03/2013,8
18/08/2011,8
31/05/2010,8
22/08/2011,8
13/09/2013,8
26/05/2014,8
27/06/2018,8
07/10/2010,8
29/04/2013,8
17/12/2012,8
23/01/2006,8
16/12/2013,8
02/07/2007,8
08/10/2009,8
07/01/2015,8
27/11/2013,8
12/12/2012,8
09/07/2009,8
05/08/2013,8
08/04/2016,8
04/05/2015,8
10/11/2011,8
29/09/2008,8
13/07/2012,8
08/06/2016,8
17/10/2005,8
26/03/2012,8
27/05/2010,8
27/10/2009,8
17/10/2016,8
08/11/2010,8
14/05/2018,8
01/07/2010,8
25/07/2012,8
10/09/2009,8
25/04/2011,8
22/12/2011,8
23/12/2016,8
09/11/2009,8
10/10/2018,8
13/11/2015,8
28/08/2006,8
22/12/2017,8
04/04/2014,8
18/01/2017,8
18/06/2012,8
09/03/2012,8
23/08/2010,8
27/12/2004,8
31/10/2018,8
26/10/2018,7
07/07/2011,7
11/05/2012,7
08/11/2013,7
16/01/2017,7
14/05/2014,7
16/03/2009,7
30/01/2013,7
27/12/2007,7
17/09/2014,7
24/08/2018,7
28/01/2015,7
09/08/2013,7
29/05/2006,7
30/06/2008,7
12/11/2009,7
18/07/2016,7
19/06/2013,7
08/05/2015,7
12/06/2008,7
25/11/2010,7
16/05/2018,7
21/02/2005,7
03/12/2012,7
22/05/2013,7
02/01/2007,7
24/08/2012,7
14/06/2007,7
24/10/2014,7
07/08/2017,7
25/05/2009,7
15/08/2012,7
13/12/2007,7
16/09/2013,7
18/09/2006,7
15/10/2012,7
02/05/2008,7
21/09/2009,7
03/02/2014,7
01/10/2018,7
05/02/2018,7
14/05/2012,7
01/11/2013,7
28/01/2019,7
27/07/2016,7
13/10/2011,7
19/06/2017,7
23/02/2015,7
02/04/2012,7
13/10/2014,7
04/10/2017,7
15/02/2016,7
23/11/2009,7
22/06/2018,7
08/02/2019,7
07/10/2015,7
29/11/2013,7
08/08/2012,7
24/07/2013,7
30/12/2010,7
27/08/2009,7
18/12/2008,7
01/12/2011,7
24/04/2006,7
22/08/2014,6
04/08/2014,6
30/03/2015,6
04/07/2005,6
25/05/2018,6
23/05/2014,6
12/11/2007,6
18/02/2013,6
22/08/2005,6
04/03/2013,6
10/01/2018,6
08/06/2018,6
30/05/2016,6
11/05/2009,6
31/05/2004,6
06/06/2014,6
08/10/2012,6
24/01/2005,6
18/10/2007,6
05/02/2009,6
11/07/2011,6
07/04/2011,6
12/03/2009,6
11/03/2013,6
21/03/2018,6
22/01/2007,6
27/08/2014,6
10/09/2014,6
15/02/2012,6
13/01/2014,6
25/05/2015,6
17/12/2007,6
04/03/2016,6
01/08/2014,6
22/02/2010,6
03/08/2012,6
28/12/2018,6
23/10/2017,6
12/01/2015,6
11/01/2019,6
18/12/2013,6
02/08/2010,6
11/04/2005,6
01/11/2004,6
12/01/2012,6
16/03/2018,6
08/08/2011,6
07/01/2019,6
09/01/2012,6
06/04/2018,6
10/04/2013,6
08/02/2013,6
21/12/2006,6
21/03/2011,6
17/12/2009,6
03/10/2012,6
25/08/2017,6
08/03/2013,6
26/10/2015,6
07/11/2011,6
26/09/2011,6
11/09/2008,6
20/10/2011,6
20/09/2007,6
20/09/2013,6
11/08/2014,6
12/12/2014,6
03/11/2008,6
27/09/2007,6
16/11/2007,6
02/03/2018,6
22/01/2009,6
15/12/2014,6
16/05/2012,6
30/07/2007,6
09/09/2010,6
17/03/2011,6
15/10/2014,6
18/08/2017,6
31/08/2012,6
22/07/2013,6
25/07/2014,6
30/05/2014,6
18/08/2008,6
22/03/2010,6
01/07/2013,6
13/10/2018,6
11/10/2004,6
10/07/2006,6
05/06/2017,6
05/05/2017,6
21/01/2013,5
17/01/2018,5
19/02/2018,5
28/03/2014,5
13/02/2017,5
08/03/2010,5
30/07/2012,5
21/01/2008,5
17/02/2014,5
19/12/2011,5
04/12/2015,5
23/08/2007,5
02/10/2008,5
31/03/2014,5
09/07/2012,5
14/12/2009,5
26/03/2018,5
17/01/2008,5
14/12/2012,5
23/07/2009,5
18/01/2016,5
01/08/2012,5
08/04/2010,5
01/03/2019,5
12/12/2018,5
08/08/2016,5
14/08/2006,5
28/08/2013,5
24/05/2017,5
01/08/2006,5
02/12/2015,5
19/06/2006,5
26/07/2013,5
25/01/2010,5
07/11/2016,5
03/08/2016,5
18/07/2011,5
06/02/2012,5
06/02/2015,5
16/04/2014,5
05/07/2010,5
10/07/2017,5
15/05/2017,5
07/10/2016,5
05/02/2014,5
03/01/2011,5
08/08/2005,5
15/06/2015,5
26/11/2012,5
05/03/2012,5
19/11/2014,5
15/02/2017,5
17/11/2017,5
13/05/2016,5
03/09/2009,5
12/09/2005,5
13/03/2013,5
15/06/2012,5
02/01/2009,5
01/03/2006,5
25/09/2013,5
05/01/2018,5
16/09/2016,5
25/05/2012,5
23/11/2016,5
28/11/2018,5
29/04/2015,5
09/02/2018,5
23/10/2006,5
12/12/2016,5
23/09/2013,5
17/03/2014,5
14/04/2011,5
30/05/2011,5
23/07/2018,5
21/11/2012,5
11/02/2008,5
09/06/2008,5
15/08/2014,5
10/05/2017,5
27/05/2013,5
