,0
13,3153
24,3094
10,3078
3,3004
2,2990
25,2980
5,2974
11,2955
7,2954
18,2932
19,2922
20,2922
17,2918
15,2898
12,2889
14,2881
9,2876
23,2873
4,2847
21,2845
22,2841
1,2839
8,2837
6,2774
16,2609
23/07/2012,30
06/10/2011,27
18/03/2016,22
19/09/2012,21
22/09/2011,18
26/07/2017,17
11/06/2012,16
15/02/2019,16
12/09/2014,15
17/02/2012,15
07/09/2017,15
17/09/2018,14
11/01/2010,14
17/12/2018,14
06/09/2012,14
24/11/2011,13
27/12/2013,13
24/03/2014,13
21/06/2010,13
18/05/2015,13
15/07/2016,13
16/08/2017,13
11/12/2013,12
25/02/2013,12
04/06/2009,12
03/02/2016,12
18/02/2019,12
02/07/2012,12
28/01/2010,11
09/05/2016,11
21/10/2016,11
30/06/2011,11
23/01/2015,11
27/01/2014,11
24/10/2011,11
05/10/2018,11
28/07/2011,11
18/03/2019,11
05/01/2012,10
24/02/2012,10
03/06/2016,10
02/12/2013,10
09/09/2016,10
12/02/2014,10
21/08/2017,10
11/10/2010,10
14/11/2012,10
28/12/2009,10
06/09/2016,10
25/11/2015,10
22/02/2013,10
08/07/2010,10
14/03/2016,10
31/03/2017,9
07/06/2013,9
24/01/2011,9
22/02/2012,9
10/08/2009,9
20/09/2017,9
01/02/2010,9
14/01/2015,9
15/02/2013,9
13/03/2019,9
01/03/2010,9
13/02/2019,9
22/11/2013,9
17/06/2013,9
15/01/2016,9
01/06/2012,9
17/07/2015,9
25/03/2015,9
01/08/2011,9
26/03/2012,8
27/10/2009,8
06/03/2013,8
14/07/2011,8
29/04/2013,8
07/10/2010,8
16/12/2013,8
22/12/2017,8
13/06/2012,8
18/08/2011,8
21/08/2013,8
01/07/2010,8
18/01/2017,8
22/12/2011,8
13/11/2015,8
07/01/2015,8
27/06/2018,8
13/09/2013,8
31/05/2010,8
05/04/2010,8
09/11/2009,8
09/03/2012,8
04/04/2014,8
10/10/2018,8
26/05/2014,8
27/05/2010,8
10/11/2011,8
22/08/2011,8
27/11/2013,8
08/04/2016,8
23/08/2010,8
08/10/2009,8
23/12/2016,8
16/08/2010,8
27/01/2017,8
09/05/2012,8
18/06/2012,8
31/10/2018,8
05/08/2013,8
08/11/2010,8
14/05/2018,8
17/10/2016,8
25/04/2011,8
13/07/2012,8
12/12/2012,8
10/09/2009,8
24/08/2009,8
12/06/2017,8
25/07/2012,8
08/06/2016,8
